B	BB05x	Beff	ElimB	EunlBeff	EunlB	pfull
103	1.73819	1.73817	0.61611	0.61696	0.61696	0.00001
239	4.03328	4.03319	0.77311	0.77308	0.77309	0.00002
365	6.15961	6.1595	0.83495	0.83325	0.83325	0.00002
68	2.8838	2.88372	0.71583	0.71736	0.71737	0.00003
157	2.64948	2.64939	0.70058	0.70073	0.70074	0.00003
556	9.38286	9.38258	0.88172	0.88109	0.88109	0.00003
68	1.14754	1.14745	0.5281	0.5279	0.52792	0.00008
157	6.65818	6.65759	0.84858	0.84787	0.84788	0.00009
103	2.66529	2.66504	0.69252	0.6938	0.69382	0.00009
103	4.36811	4.36762	0.78664	0.78879	0.78881	0.00011
44	1.86599	1.86576	0.62681	0.6306	0.63063	0.00012
157	4.06262	4.06212	0.76129	0.76433	0.76435	0.00012
239	6.1845	6.18378	0.82251	0.82196	0.82197	0.00012
239	10.13571	10.13437	0.89415	0.89362	0.89363	0.00013
239	4.03328	4.0327	0.77384	0.77306	0.77309	0.00014
157	2.64948	2.64906	0.69949	0.70071	0.70074	0.00016
365	6.15961	6.15856	0.8357	0.83323	0.83325	0.00017
68	1.75961	1.75931	0.61642	0.61318	0.61322	0.00017
556	9.38286	9.38116	0.88149	0.88107	0.88109	0.00018
365	9.44495	9.44321	0.87165	0.86874	0.86876	0.00018
44	1.13857	1.13834	0.52818	0.52432	0.52436	0.0002
44	0.74253	0.74237	0.43484	0.43516	0.4352	0.00021
365	15.47922	15.47578	0.92917	0.9282	0.92821	0.00022
13	1.59392	1.59357	0.5934	0.59567	0.59571	0.00022
19	2.32957	2.32901	0.68135	0.67736	0.67741	0.00024
239	3.09854	3.09777	0.73265	0.73139	0.73144	0.00025
365	4.73209	4.7309	0.80395	0.80258	0.80261	0.00025
29	1.22986	1.22954	0.53848	0.54139	0.54145	0.00026
103	1.73819	1.73769	0.61691	0.6169	0.61696	0.00029
157	1.178	1.17764	0.53363	0.53513	0.53519	0.0003
157	2.03545	2.03482	0.65	0.65021	0.65028	0.00031
68	8.33742	8.33472	0.88418	0.88344	0.88347	0.00032
68	2.8838	2.88285	0.71818	0.71731	0.71737	0.00033
157	19.24963	19.24307	0.94526	0.94628	0.9463	0.00034
2	2	1.99928	0.66092	0.65585	0.65593	0.00036
2	2	1.99928	0.66092	0.65585	0.65593	0.00036
29	3.55566	3.55438	0.76516	0.7613	0.76136	0.00036
365	4.67403	4.67232	0.78689	0.78499	0.78505	0.00037
365	44.75233	44.73431	0.97654	0.97633	0.97634	0.0004
103	4.36811	4.36633	0.78834	0.78875	0.78881	0.00041
157	6.65818	6.6553	0.84784	0.84783	0.84788	0.00043
239	3.06053	3.05921	0.71612	0.71428	0.71435	0.00043
103	12.62874	12.62322	0.91884	0.92019	0.92023	0.00044
239	29.30358	29.28997	0.96393	0.96411	0.96413	0.00046
68	2.48674	2.48548	0.68527	0.68676	0.68686	0.00051
157	2.01047	2.00941	0.63468	0.63677	0.63688	0.00053
68	1.14754	1.14691	0.52872	0.5278	0.52792	0.00055
44	1.86599	1.86492	0.62916	0.63051	0.63063	0.00057
44	5.3948	5.39162	0.82957	0.82955	0.82963	0.00059
68	4.36093	4.35833	0.8008	0.79671	0.7968	0.0006
8	0.98087	0.98026	0.49282	0.49427	0.4944	0.00062
239	6.1845	6.18068	0.8213	0.8219	0.82197	0.00062
44	2.82178	2.81992	0.72044	0.71918	0.7193	0.00066
103	0.77283	0.77231	0.44551	0.4474	0.44754	0.00067
29	1.22986	1.22902	0.5399	0.5413	0.54145	0.00068
157	5.74145	5.73758	0.82657	0.82648	0.82657	0.00068
103	1.33536	1.33444	0.55974	0.56145	0.5616	0.00069
157	4.06262	4.0598	0.76165	0.76425	0.76435	0.00069
239	10.13571	10.12852	0.89426	0.89357	0.89363	0.00071
19	0.80577	0.8052	0.4499	0.45201	0.45216	0.00071
365	15.47922	15.46798	0.92902	0.92816	0.92821	0.00073
103	3.76668	3.76392	0.76184	0.7621	0.76223	0.00073
19	2.32957	2.32787	0.68082	0.67726	0.67741	0.00073
19	2.15005	2.14848	0.66615	0.66186	0.66202	0.00073
