ElimB	EunlBeff	EunlB
0.56839	0.59961	0.65593
0.56839	0.59961	0.65593
0.70401	0.73389	0.78694
0.74236	0.77107	0.81966
0.80930	0.83481	0.87454
0.87053	0.88625	0.91501
0.90367	0.91541	0.93804
0.93307	0.94041	0.95706
0.95558	0.95908	0.97062
0.96906	0.97210	0.98070
0.97785	0.98130	0.98743
0.98531	0.98808	0.99211
0.99180	0.99256	0.99519
0.99464	0.99548	0.99710
0.44095	0.50981	0.65415
0.44095	0.50981	0.65415
0.60102	0.65155	0.78549
0.65143	0.69567	0.81838
0.74089	0.77713	0.87368
0.81639	0.84199	0.91458
0.86372	0.88099	0.93783
0.90633	0.91680	0.95698
0.93494	0.94086	0.97058
0.95696	0.95960	0.98063
0.96837	0.97244	0.98729
0.97824	0.98158	0.99191
0.98656	0.98810	0.99492
0.99177	0.99241	0.99679
0.63757	0.64255	0.65593
0.63757	0.64255	0.65593
0.75461	0.77081	0.78694
0.78899	0.80403	0.81966
0.85141	0.86149	0.87454
0.89880	0.90538	0.91501
0.92786	0.93064	0.93804
0.95003	0.95152	0.95706
0.96409	0.96647	0.97062
0.97751	0.97782	0.98070
0.98290	0.98534	0.98743
0.98877	0.99078	0.99211
0.99367	0.99428	0.99519
0.99626	0.99659	0.99710
0.60899	0.62460	0.65415
0.60899	0.62460	0.65415
0.73559	0.75472	0.78549
0.76987	0.79000	0.81838
0.83710	0.85007	0.87368
0.88940	0.89729	0.91458
0.92123	0.92503	0.93783
0.94302	0.94662	0.95698
0.96190	0.96338	0.97058
0.97523	0.97557	0.98063
0.98059	0.98380	0.98729
0.98705	0.98946	0.99191
0.99262	0.99341	0.99492
0.99577	0.99585	0.99679
0.55695	0.58743	0.65293
0.55695	0.58743	0.65293
0.69789	0.72601	0.78696
0.74081	0.76678	0.82020
0.81238	0.83273	0.87534
0.87031	0.88377	0.91536
0.90770	0.91401	0.93787
0.93532	0.93856	0.95636
0.95629	0.95727	0.96958
0.97052	0.97054	0.97949
0.97768	0.97940	0.98624
0.98472	0.98624	0.99111
0.98983	0.99121	0.99450
0.99440	0.99458	0.99681
0.44056	0.50091	0.65596
0.44056	0.50091	0.65596
0.60442	0.64612	0.78829
0.64974	0.69036	0.82096
0.73737	0.77022	0.87563
0.82054	0.84293	0.91595
0.86765	0.88278	0.93888
0.90606	0.91467	0.95778
0.93575	0.94040	0.97120
0.95618	0.95880	0.98111
0.96869	0.97162	0.98769
0.97755	0.98044	0.99225
0.98662	0.98818	0.99523
0.99210	0.99258	0.99708
0.65414	0.65204	0.65593
0.65414	0.65204	0.65593
0.76991	0.78084	0.78694
0.80435	0.81338	0.81966
0.86399	0.86923	0.87454
0.90631	0.91064	0.91501
0.93440	0.93462	0.93804
0.95446	0.95455	0.95706
0.96775	0.96883	0.97062
0.97919	0.97943	0.98070
0.98394	0.98658	0.98743
0.99025	0.99153	0.99211
0.99435	0.99481	0.99519
0.99665	0.99688	0.99710
0.64243	0.64501	0.65415
0.64243	0.64501	0.65415
0.76162	0.77428	0.78549
0.79644	0.80756	0.81838
0.85757	0.86442	0.87368
0.90492	0.90766	0.91458
0.93164	0.93235	0.93783
0.95164	0.95301	0.95698
0.96739	0.96779	0.97058
0.97864	0.97861	0.98063
0.98340	0.98578	0.98729
0.98914	0.99098	0.99191
0.99356	0.99430	0.99492
0.99648	0.99643	0.99679
0.62939	0.63531	0.65293
0.62939	0.63531	0.65293
0.75335	0.76775	0.78696
0.78563	0.80213	0.82020
0.84995	0.86038	0.87534
0.89809	0.90422	0.91536
0.92746	0.92954	0.93787
0.95150	0.95056	0.95636
0.96476	0.96494	0.96958
0.97826	0.97637	0.97949
0.98298	0.98384	0.98624
0.98842	0.98953	0.99111
0.99204	0.99336	0.99450
0.99589	0.99605	0.99681
0.60342	0.62161	0.65596
0.60342	0.62161	0.65596
0.73448	0.75604	0.78829
0.77194	0.79012	0.82096
0.84003	0.85254	0.87563
0.88879	0.89763	0.91595
0.92078	0.92445	0.93888
0.94550	0.94701	0.95778
0.96311	0.96420	0.97120
0.97603	0.97614	0.98111
0.98219	0.98409	0.98769
0.98737	0.98978	0.99225
0.99220	0.99370	0.99523
0.99582	0.99615	0.99708
0.55551	0.58763	0.65555
0.55551	0.58763	0.65555
0.69524	0.72479	0.79010
0.74085	0.76691	0.82291
0.81769	0.83578	0.87668
0.87404	0.88496	0.91551
0.91056	0.91456	0.93757
0.93880	0.93900	0.95604
0.95573	0.95592	0.96959
0.97281	0.97069	0.98007
0.97936	0.97987	0.98744
0.98379	0.98672	0.99292
0.99118	0.99307	0.99685
0.59197	0.63503	0.79079
0.64713	0.68980	0.82380
0.73938	0.77400	0.87832
0.81688	0.84110	0.91783
0.86770	0.88343	0.94007
0.90993	0.91789	0.95832
0.93890	0.94255	0.97132
0.95545	0.95799	0.98102
0.97048	0.97246	0.98756
0.96639	0.97678	0.99223
0.98718	0.98770	0.99541
0.65818	0.65485	0.65593
0.65818	0.65485	0.65593
0.77540	0.78440	0.78694
0.80916	0.81708	0.81966
0.86715	0.87192	0.87454
0.91229	0.91315	0.91501
0.93736	0.93652	0.93804
0.95624	0.95592	0.95706
0.96992	0.96976	0.97062
0.98003	0.98012	0.98070
0.98505	0.98701	0.98743
0.99084	0.99186	0.99211
0.99485	0.99502	0.99519
0.99675	0.99700	0.99710
0.65546	0.65137	0.65415
0.65546	0.65137	0.65415
0.77286	0.78093	0.78549
0.80496	0.81383	0.81838
0.86629	0.86956	0.87368
0.91080	0.91145	0.91458
0.93557	0.93541	0.93783
0.95460	0.95487	0.95698
0.96953	0.96928	0.97058
0.98044	0.97967	0.98063
0.98468	0.98664	0.98729
0.98958	0.99148	0.99191
0.99402	0.99465	0.99492
0.99681	0.99663	0.99679
0.64995	0.64700	0.65293
0.64995	0.64700	0.65293
0.76847	0.77897	0.78696
0.80109	0.81256	0.82020
0.86247	0.86919	0.87534
0.90668	0.91039	0.91536
0.93416	0.93392	0.93787
0.95496	0.95357	0.95636
0.96890	0.96756	0.96958
0.97955	0.97817	0.97949
0.98446	0.98526	0.98624
0.98940	0.99043	0.99111
0.99243	0.99399	0.99450
0.99626	0.99648	0.99681
0.63969	0.64435	0.65596
0.63969	0.64435	0.65596
0.76435	0.77575	0.78829
0.79458	0.80871	0.82096
0.85934	0.86600	0.87563
0.90342	0.90802	0.91595
0.93454	0.93344	0.93888
0.95465	0.95365	0.95778
0.96623	0.96779	0.97120
0.97984	0.97912	0.98111
0.98484	0.98631	0.98769
0.98884	0.99122	0.99225
0.99305	0.99458	0.99523
0.99636	0.99670	0.99708
0.62495	0.63455	0.65555
0.62495	0.63455	0.65555
0.75494	0.77003	0.79010
0.78617	0.80279	0.82291
0.85372	0.86262	0.87668
0.90456	0.90553	0.91551
0.93018	0.92920	0.93757
0.95285	0.95005	0.95604
0.96556	0.96448	0.96959
0.97850	0.97679	0.98007
0.98395	0.98476	0.98744
0.98869	0.99104	0.99292
0.99314	0.99551	0.99685
0.59975	0.61725	0.65548
0.59975	0.61725	0.65548
0.73565	0.75611	0.79079
0.77383	0.79241	0.82380
0.84476	0.85600	0.87832
0.89745	0.90190	0.91783
0.92517	0.92744	0.94007
0.94830	0.94899	0.95832
0.96473	0.96454	0.97132
0.97773	0.97638	0.98102
0.98267	0.98406	0.98756
0.98547	0.98877	0.99223
0.99295	0.99366	0.99541
0.54897	0.58205	0.66134
0.54897	0.58205	0.66134
0.69605	0.73120	0.79468
0.73739	0.76973	0.82599
0.81718	0.83804	0.87800
0.87653	0.88629	0.91677
0.91186	0.91542	0.93925
0.93681	0.93896	0.95808
0.95566	0.95774	0.97162
0.96858	0.97006	0.98167
0.98016	0.98207	0.98831
0.97760	0.98603	0.99284
0.99094	0.99285	0.99571
0.59480	0.63487	0.79535
0.65405	0.69045	0.82882
0.75177	0.78258	0.88398
0.82743	0.85053	0.92367
0.87210	0.89084	0.94569
0.91382	0.92603	0.96337
0.93706	0.94610	0.97557
0.95326	0.96230	0.98426
0.97194	0.97709	0.98976
0.96037	0.97860	0.99333
0.98600	0.98987	0.99544
0.66070	0.65556	0.65593
0.66070	0.65556	0.65593
0.77880	0.78603	0.78694
0.81173	0.81858	0.81966
0.86987	0.87338	0.87454
0.91102	0.91407	0.91501
0.94025	0.93731	0.93804
0.95868	0.95652	0.95706
0.97043	0.97023	0.97062
0.98104	0.98041	0.98070
0.98540	0.98724	0.98743
0.99074	0.99199	0.99211
0.99506	0.99511	0.99519
0.99690	0.99705	0.99710
0.65776	0.65318	0.65415
0.65776	0.65318	0.65415
0.77887	0.78359	0.78549
0.80687	0.81625	0.81838
0.86915	0.87176	0.87368
0.91057	0.91286	0.91458
0.93921	0.93670	0.93783
0.95742	0.95609	0.95698
0.97157	0.96999	0.97058
0.98040	0.98018	0.98063
0.98484	0.98699	0.98729
0.98980	0.99169	0.99191
0.99452	0.99479	0.99492
0.99686	0.99671	0.99679
0.65616	0.65087	0.65293
0.65616	0.65087	0.65293
0.77600	0.78357	0.78696
0.80876	0.81670	0.82020
0.87052	0.87270	0.87534
0.91096	0.91293	0.91536
0.93776	0.93615	0.93787
0.95655	0.95512	0.95636
0.97096	0.96863	0.96958
0.98061	0.97885	0.97949
0.98468	0.98578	0.98624
0.98983	0.99077	0.99111
0.99299	0.99427	0.99450
0.99646	0.99666	0.99681
0.65315	0.65202	0.65596
0.65315	0.65202	0.65596
0.77296	0.78241	0.78829
0.81112	0.81605	0.82096
0.86882	0.87166	0.87563
0.91424	0.91303	0.91595
0.93712	0.93598	0.93888
0.95788	0.95587	0.95778
0.96956	0.96975	0.97120
