x	CReal	CTh
0.5	0.922286311	0.90908595
0.683333	0.919773709	0.909069503
0.866667	0.914546239	0.909029597
1.05	0.908666078	0.908949255
1.23333	0.902612705	0.908804869
1.41667	0.897285349	0.908587737
1.6	0.893096365	0.908260058
1.78333	0.889610001	0.907796545
1.96667	0.887494472	0.907177453
2.15	0.885881926	0.906350779
2.33333	0.883887342	0.905279208
2.51667	0.881813754	0.903914604
2.7	0.879779729	0.902180269
2.88333	0.878188513	0.899985954
3.06667	0.875166234	0.89721707
3.25	0.872607378	0.893694368
3.43333	0.867574336	0.889182694
3.61667	0.863430833	0.883314649
3.8	0.856361186	0.875521569
3.98333	0.845897218	0.864858351
4.16667	0.832242098	0.849638564
4.35	0.810647624	0.826507521
4.53333	0.771860554	0.787732562
4.71667	0.695537601	0.710604063
4.9	0.475216029	0.48698072
