theta	x	pmeasured	papproxconst	papproxexp	papproxconstfrac	papproxexpfrac
3	2.0	0.18459	0.38279	0.45211	0.32685	0.39777
4	2.0	0.05384	0.11131	0.16638	0.10421	0.15838
4	2.5	0.14078	0.22528	0.30403	0.20316	0.28187
5	2.0	0.01619	0.03247	0.06388	0.03176	0.06280
5	2.5	0.05077	0.07324	0.12781	0.07013	0.12397
5	3.0	0.12637	0.14205	0.22175	0.13256	0.21175
6	2.0	0.00474	0.00902	0.02458	0.00896	0.02444
6	2.5	0.01854	0.02353	0.05507	0.02317	0.05444
6	3.0	0.05395	0.05011	0.10278	0.04865	0.10078
6	3.5	0.12436	0.09411	0.17114	0.08975	0.16622
7	2.0	0.00131	0.00229	0.00926	0.00229	0.00924
7	2.5	0.00651	0.00716	0.02367	0.00712	0.02357
7	3.0	0.02438	0.01725	0.04829	0.01706	0.04790
7	3.5	0.17886	0.03526	0.08545	0.03455	0.08434
7	4.0	0.12200	0.06463	0.13758	0.06252	0.13499
8	2.0	0.00033	0.00052	0.00338	0.00052	0.00338
8	2.5	0.00216	0.00201	0.01000	0.00200	0.00998
8	3.0	0.01050	0.00561	0.02258	0.00559	0.02251
8	3.5	0.03469	0.01279	0.04297	0.01269	0.04272
8	4.0	0.06928	0.02535	0.07287	0.02498	0.07222
8	4.5	0.11127	0.04560	0.11405	0.04453	0.11261
8	6.0	0.32914	0.19010	0.32817	0.17879	0.31978
