theta	x	pmeasured	papproxconst	papproxexp	papproxconstfrac	papproxexpfrac
3	2.0	0.15794	0.20859	0.53251	0.18982	0.53226
3	2.5	0.37018	0.46937	0.74829	0.42678	0.73100
4	2.0	0.04375	0.04920	0.30194	0.04731	0.30193
4	2.5	0.09542	0.11187	0.45331	0.10389	0.45263
4	3.0	0.19745	0.23576	0.61851	0.21075	0.60916
4	3.5	0.40463	0.49639	0.76062	0.45326	0.71675
5	2.0	0.01358	0.01242	0.17918	0.01227	0.17917
5	2.5	0.03092	0.03057	0.28376	0.02975	0.28367
5	3.0	0.06192	0.06534	0.40392	0.06198	0.40248
5	3.5	0.11799	0.13036	0.53414	0.11936	0.52494
5	4.0	0.22303	0.25419	0.65913	0.22444	0.62748
5	4.5	0.42690	0.51035	0.75226	0.45841	0.68667
6	2.0	0.00432	0.00306	0.10981	0.00305	0.10981
6	2.5	0.01024	0.00865	0.18345	0.00858	0.18343
6	3.0	0.02203	0.01992	0.27115	0.01955	0.27075
6	3.5	0.04149	0.04067	0.37014	0.03921	0.36737
6	4.0	0.07701	0.07764	0.47615	0.07289	0.46519
6	4.5	0.14053	0.14409	0.58055	0.13055	0.55177
6	5.0	0.24265	0.26799	0.66976	0.23455	0.61436
6	5.5	0.43691	0.51699	0.73578	0.45553	0.65127
7	2.0	0.00136	0.00070	0.06886	0.00070	0.06886
7	2.5	0.00337	0.00236	0.12148	0.00236	0.12147
7	3.0	0.00788	0.00613	0.18641	0.00609	0.18625
7	3.5	0.01591	0.01345	0.26178	0.01327	0.26063
7	4.0	0.03030	0.02652	0.34535	0.02587	0.34052
7	4.5	0.05358	0.04899	0.43362	0.04688	0.41979
7	5.0	0.09058	0.08745	0.52095	0.08141	0.49115
7	5.5	0.15701	0.15488	0.59993	0.13914	0.54802
7	6.0	0.25031	0.27883	0.66471	0.24230	0.58770
7	6.5	0.45454	0.51878	0.71439	0.44928	0.61261
8	2.0	0.00041	0.00015	0.04390	0.00015	0.04390
8	2.5	0.00111	0.00060	0.08189	0.00060	0.08189
8	3.0	0.00295	0.00181	0.13054	0.00180	0.13045
8	3.5	0.00620	0.00440	0.18850	0.00439	0.18790
8	4.0	0.01219	0.00932	0.25431	0.00924	0.25176
8	4.5	0.02247	0.01791	0.32600	0.01761	0.31834
8	5.0	0.03821	0.03229	0.40066	0.03132	0.38312
8	5.5	0.06252	0.05599	0.47436	0.05324	0.44165
8	6.0	0.10516	0.09553	0.54266	0.08832	0.49043
8	6.5	0.16550	0.16368	0.60189	0.14603	0.52771
8	7.0	0.26456	0.28759	0.65049	0.24834	0.55397
8	7.5	0.46621	0.51642	0.68897	0.44069	0.57116
