theta	x	pmeasured	papproxconst	papproxexp	papproxconstfrac	papproxexpfrac
3	2.0	0.26889	0.30287	0.46078	0.27938	0.44621
3	2.5	0.63951	0.57613	0.71050	0.53548	0.69054
4	2.0	0.08134	0.08308	0.20900	0.08001	0.20656
4	2.5	0.21357	0.17431	0.34949	0.16446	0.34436
4	3.0	0.43711	0.32855	0.52638	0.30605	0.51841
5	2.0	0.02809	0.02275	0.09906	0.02245	0.09867
5	2.5	0.08070	0.05332	0.17895	0.05193	0.17793
5	3.0	0.17918	0.10740	0.28404	0.10284	0.28201
5	3.5	0.33764	0.19792	0.41539	0.18634	0.41216
5	4.0	0.56311	0.34627	0.57501	0.32272	0.57056
6	2.0	0.00890	0.00593	0.04811	0.00590	0.04805
6	2.5	0.03240	0.01612	0.09456	0.01596	0.09436
6	3.0	0.07934	0.03566	0.15881	0.03497	0.15834
6	3.5	0.15827	0.06955	0.24156	0.06728	0.24069
6	4.0	0.27661	0.12535	0.34382	0.11932	0.34243
7	2.0	0.00304	0.00142	0.02363	0.00142	0.02362
7	2.5	0.01351	0.00462	0.05089	0.00461	0.05085
7	3.0	0.03694	0.01159	0.09090	0.01150	0.09079
7	3.5	0.07859	0.02458	0.14440	0.02422	0.14417
7	4.0	0.14369	0.04672	0.21203	0.04554	0.21162
7	4.5	0.23756	0.08262	0.29459	0.07942	0.29395
7	5.0	0.36609	0.13948	0.39318	0.13192	0.39218
8	2.0	0.00127	0.00031	0.01165	0.00031	0.01164
8	2.5	0.00575	0.00123	0.02766	0.00122	0.02765
8	3.0	0.01763	0.00357	0.05279	0.00356	0.05277
8	3.5	0.04014	0.00844	0.08791	0.00839	0.08784
8	4.0	0.07782	0.01733	0.13360	0.01713	0.13348
8	4.5	0.13366	0.03228	0.19042	0.03165	0.19021
8	5.0	0.21167	0.05621	0.25899	0.05447	0.25867
8	5.5	0.31286	0.09349	0.34012	0.08929	0.33955
8	6.0	0.47602	0.15110	0.43471	0.14196	0.43325
