theta	x	pmeasured	papproxconst	papproxexp	papproxconstfrac	papproxexpfrac
3	2.0	0.38422	0.46999	0.48561	0.35968	0.37478
3	2.5	0.76655	0.87978	0.89287	0.60601	0.61993
4	2.0	0.16447	0.13846	0.15056	0.12453	0.13609
4	2.5	0.31022	0.28012	0.29792	0.23357	0.25057
4	3.0	0.49749	0.51345	0.53432	0.39247	0.41295
4	3.5	0.83053	0.86723	0.88344	0.61470	0.63241
5	2.0	0.07513	0.04226	0.04887	0.04074	0.04719
5	2.5	0.15874	0.09358	0.10549	0.08689	0.09835
5	3.0	0.25759	0.17979	0.19776	0.15847	0.17564
5	3.5	0.38197	0.31819	0.34159	0.26299	0.28551
5	4.0	0.58338	0.53519	0.56077	0.41217	0.43764
5	4.5	0.77804	0.84911	0.86811	0.61839	0.63962
6	2.0	0.03458	0.01243	0.01548	0.01229	0.01532
6	2.5	0.08309	0.03154	0.03806	0.03069	0.03708
6	3.0	0.13980	0.06572	0.07707	0.06232	0.07332
6	3.5	0.21926	0.12156	0.13879	0.11115	0.12770
6	4.0	0.30954	0.20889	0.23230	0.18226	0.20472
6	4.5	0.42487	0.34301	0.37155	0.28314	0.31087
6	5.0	0.56943	0.54657	0.57644	0.42545	0.45565
6	5.5	0.79100	0.83026	0.85181	0.61974	0.64425
7	2.0	0.01572	0.00336	0.00459	0.00335	0.00458
7	2.5	0.03875	0.01015	0.01330	0.01006	0.01318
7	3.0	0.07660	0.02377	0.03004	0.02329	0.02946
7	3.5	0.12898	0.04744	0.05807	0.04564	0.05600
7	4.0	0.18603	0.08531	0.10141	0.07997	0.09552
7	4.5	0.25593	0.14330	0.16559	0.12981	0.15126
7	5.0	0.34043	0.23030	0.25881	0.20002	0.22753
7	5.5	0.46738	0.36011	0.39343	0.29799	0.33069
7	6.0	0.66826	0.55239	0.58623	0.43509	0.46976
7	6.5	0.80564	0.81225	0.83618	0.61984	0.64745
8	2.0	0.00688	0.00082	0.00125	0.00082	0.00125
8	2.5	0.01821	0.00302	0.00437	0.00301	0.00436
8	3.0	0.04203	0.00817	0.01130	0.00811	0.01122
8	3.5	0.07537	0.01809	0.02402	0.01781	0.02366
8	4.0	0.11399	0.03495	0.04480	0.03397	0.04361
8	4.5	0.16311	0.06154	0.07637	0.05869	0.07311
8	5.0	0.21459	0.10159	0.12232	0.09448	0.11451
8	5.5	0.27839	0.16055	0.18769	0.14464	0.17083
8	6.0	0.36279	0.24661	0.27993	0.21390	0.24626
8	6.5	0.50587	0.37234	0.41017	0.30950	0.34698
8	7.0	0.67969	0.55502	0.59256	0.44243	0.48136
