theta	x	pmeasured	papproxconst	papproxexp	papproxconstfrac	papproxexpfrac
3	2.0	0.18399	0.31368	0.45886	0.28734	0.43981
3	2.5	0.44940	0.58946	0.71187	0.54417	0.68522
4	2.0	0.04618	0.08698	0.20339	0.08357	0.20013
4	2.5	0.12211	0.18124	0.34331	0.17050	0.33619
4	3.0	0.26108	0.33855	0.52113	0.31451	0.50970
4	3.5	0.52131	0.59189	0.73516	0.55544	0.72006
5	2.0	0.01220	0.02403	0.09423	0.02370	0.09369
5	2.5	0.03792	0.05599	0.17216	0.05447	0.17070
5	3.0	0.08908	0.11207	0.27583	0.10722	0.27284
5	3.5	0.17680	0.20498	0.40670	0.19295	0.40178
5	4.0	0.32479	0.35524	0.56715	0.33142	0.56052
5	4.5	0.57110	0.59646	0.75361	0.56171	0.74021
6	2.0	0.00310	0.00631	0.04467	0.00629	0.04458
6	2.5	0.01212	0.01707	0.08907	0.01689	0.08877
6	3.0	0.03289	0.03755	0.15129	0.03681	0.15057
6	3.5	0.07011	0.07281	0.23232	0.07044	0.23094
6	4.0	0.13114	0.13039	0.33341	0.12423	0.33116
6	4.5	0.22864	0.22226	0.45640	0.20870	0.45321
6	5.0	0.37655	0.36835	0.60369	0.34322	0.59888
7	2.0	0.00078	0.00152	0.02136	0.00152	0.02135
7	2.5	0.00367	0.00493	0.04687	0.00491	0.04681
7	3.0	0.01168	0.01229	0.08491	0.01220	0.08474
7	3.5	0.02794	0.02595	0.13642	0.02556	0.13604
7	4.0	0.05719	0.04907	0.20223	0.04785	0.20154
7	4.5	0.10313	0.08629	0.28332	0.08303	0.28222
7	5.0	0.17352	0.14473	0.38102	0.13720	0.37943
7	5.5	0.27024	0.23592	0.49712	0.22053	0.49469
8	2.0	0.00019	0.00033	0.01023	0.00033	0.01022
8	2.5	0.00117	0.00132	0.02486	0.00131	0.02485
8	3.0	0.00402	0.00381	0.04830	0.00380	0.04826
8	3.5	0.01123	0.00897	0.08153	0.00892	0.08143
8	4.0	0.02494	0.01834	0.12531	0.01813	0.12510
8	4.5	0.04847	0.03400	0.18030	0.03334	0.17994
8	5.0	0.08600	0.05890	0.24728	0.05714	0.24671
8	5.5	0.13831	0.09745	0.32722	0.09325	0.32637
8	6.0	0.21976	0.15649	0.42134	0.14751	0.41995
8	6.5	0.30560	0.24722	0.53085	0.22985	0.52741
