theta	x	pmeasured	papproxconst	papproxexp	papproxconstfrac	papproxexpfrac
3	2	0.312006	0.20857	0.53243	0.1898	0.53205
3	2.5	0.53865	0.46563	0.74737	0.41764	0.72961
4	2	0.132344	0.04919	0.30193	0.0473	0.30192
4	2.5	0.215449	0.11186	0.45329	0.10387	0.45259
4	3	0.334653	0.23573	0.61835	0.21071	0.60886
4	3.5	0.552841	0.48488	0.76055	0.42905	0.71666
5	2	0.0620593	0.01242	0.17917	0.01227	0.17917
5	2.5	0.0970277	0.03056	0.28375	0.02974	0.28366
5	3	0.146223	0.06533	0.4039	0.06197	0.40245
5	3.5	0.221101	0.13034	0.5341	0.11934	0.52488
5	4	0.33794	0.25407	0.65908	0.22424	0.62741
5	4.5	0.551517	0.49792	0.75223	0.4359	0.68664
6	2	0.029274	0.00306	0.1098	0.00305	0.1098
6	2.5	0.0468077	0.00865	0.18345	0.00858	0.18342
6	3	0.0686053	0.01992	0.27114	0.01955	0.27074
6	3.5	0.09801	0.04066	0.37013	0.03921	0.36735
6	4	0.148788	0.07763	0.47613	0.07288	0.46516
6	4.5	0.219201	0.14407	0.58052	0.13052	0.55173
6	5	0.336457	0.26765	0.66973	0.23395	0.61433
6	5.5	0.565697	0.50687	0.73576	0.4394	0.65125
7	2	0.0142967	0.0007	0.06886	0.0007	0.06886
7	2.5	0.0233457	0.00236	0.12147	0.00236	0.12146
7	3	0.0344373	0.00613	0.18641	0.00609	0.18624
7	3.5	0.0483603	0.01345	0.26177	0.01327	0.26062
7	4	0.0706853	0.02652	0.34534	0.02586	0.34051
7	4.5	0.102353	0.04898	0.43361	0.04688	0.41977
7	5	0.141926	0.08744	0.52093	0.0814	0.49112
7	5.5	0.219328	0.15485	0.5999	0.13911	0.548
7	6	0.336586	0.27827	0.66469	0.24136	0.58768
7	6.5	0.547189	0.51183	0.71437	0.43924	0.61259
8	2	0.00713467	0.00015	0.0439	0.00015	0.0439
8	2.5	0.011446	0.0006	0.08189	0.0006	0.08188
8	3	0.0170783	0.00181	0.13053	0.0018	0.13044
8	3.5	0.0250987	0.0044	0.1885	0.00438	0.1879
8	4	0.0361523	0.00932	0.25431	0.00923	0.25175
8	4.5	0.0474053	0.01791	0.32599	0.0176	0.31832
8	5	0.0697743	0.03228	0.40064	0.03131	0.3831
8	5.5	0.0945883	0.05598	0.47434	0.05323	0.44163
8	6	0.146954	0.09551	0.54264	0.08831	0.49041
8	6.5	0.21106	0.16364	0.60187	0.14599	0.52769
8	7	0.325701	0.28686	0.65047	0.24721	0.55395
8	7.5	0.546456	0.51224	0.68895	0.43506	0.57115
