theta	x	pmeasured	papproxconst	papproxexp	papproxconstfrac	papproxexpfrac
3	2.0	0.26589	0.39714	0.45447	0.33298	0.39112
4	2.0	0.06545	0.11594	0.16120	0.10783	0.15215
4	2.5	0.20636	0.23420	0.29934	0.20862	0.27329
4	3.0	0.49790	0.42290	0.49773	0.36315	0.44089
5	2.0	0.01681	0.03413	0.05966	0.03330	0.05848
5	2.5	0.06444	0.07663	0.12139	0.07303	0.11703
5	3.0	0.17518	0.14812	0.21398	0.13707	0.20214
5	3.5	0.38722	0.26132	0.34507	0.23459	0.31908
6	2.0	0.00426	0.00958	0.02201	0.00951	0.02187
6	2.5	0.02080	0.02485	0.05038	0.02442	0.04969
6	3.0	0.06480	0.05265	0.09571	0.05095	0.09344
6	3.5	0.15687	0.09847	0.16197	0.09337	0.15612
6	4.0	0.32342	0.16996	0.25406	0.15748	0.24143
7	2.0	0.00101	0.00246	0.00788	0.00246	0.00786
7	2.5	0.00667	0.00764	0.02074	0.00759	0.02063
7	3.0	0.02434	0.01830	0.04328	0.01807	0.04286
7	3.5	0.06571	0.03720	0.07806	0.03636	0.07680
7	4.0	0.14597	0.06787	0.12780	0.06539	0.12472
7	4.5	0.25561	0.11508	0.19579	0.10898	0.18927
8	2.0	0.00022	0.00057	0.00271	0.00057	0.00271
8	2.5	0.00202	0.00216	0.00832	0.00216	0.00831
8	3.0	0.00905	0.00601	0.01937	0.00598	0.01930
8	3.5	0.02805	0.01362	0.03776	0.01349	0.03749
8	4.0	0.06696	0.02685	0.06533	0.02641	0.06460
8	4.5	0.13973	0.04805	0.10406	0.04679	0.10234
8	5.0	0.26051	0.08036	0.15622	0.07725	0.15267
8	6.0	0.63784	0.19765	0.31323	0.18444	0.30190
