theta	x	pmeasured	papproxconst	papproxexp	papproxconstfrac	papproxexpfrac
3	2.0	0.35499	0.39502	0.45289	0.33200	0.39108
3	2.5	0.63618	0.71596	0.76438	0.58764	0.64311
4	2.0	0.14959	0.11531	0.16082	0.10734	0.15204
4	2.5	0.28963	0.23287	0.29844	0.20779	0.27321
4	3.0	0.46232	0.42041	0.49590	0.36199	0.44093
4	3.5	0.73332	0.69665	0.75595	0.59855	0.66746
5	2.0	0.06751	0.03392	0.05953	0.03311	0.05839
5	2.5	0.14450	0.07618	0.12111	0.07265	0.11692
5	3.0	0.23994	0.14724	0.21341	0.13642	0.20204
5	3.5	0.35851	0.25974	0.34402	0.23360	0.31906
5	4.0	0.51168	0.43153	0.52235	0.37996	0.47661
5	4.5	0.76572	0.68133	0.74993	0.60405	0.68424
6	2.0	0.03198	0.00951	0.02195	0.00944	0.02181
6	2.5	0.07426	0.02469	0.05025	0.02427	0.04960
6	3.0	0.13137	0.05232	0.09549	0.05066	0.09333
6	3.5	0.20087	0.09786	0.16158	0.09287	0.15602
6	4.0	0.28899	0.16891	0.25340	0.15670	0.24138
6	4.5	0.39471	0.27659	0.37740	0.25116	0.35476
6	5.0	0.55353	0.43733	0.54190	0.39209	0.50477
6	5.5	0.82088	0.66977	0.74642	0.60668	0.69649
7	2.0	0.01509	0.00244	0.00785	0.00244	0.00784
7	2.5	0.03855	0.00758	0.02067	0.00754	0.02058
7	3.0	0.07292	0.01817	0.04317	0.01795	0.04277
7	3.5	0.11755	0.03696	0.07788	0.03613	0.07669
7	4.0	0.17330	0.06743	0.12752	0.06500	0.12461
7	4.5	0.24239	0.11435	0.19534	0.10838	0.18919
7	5.0	0.31878	0.18454	0.28557	0.17178	0.27400
7	5.5	0.42100	0.28818	0.40395	0.26401	0.38425
7	6.0	0.56476	0.44098	0.55803	0.40091	0.52818
8	2.0	0.00735	0.00056	0.00269	0.00056	0.00269
8	2.5	0.02020	0.00214	0.00829	0.00214	0.00828
8	3.0	0.04115	0.00596	0.01931	0.00594	0.01924
8	3.5	0.06859	0.01352	0.03765	0.01340	0.03741
8	4.0	0.10252	0.02666	0.06518	0.02623	0.06449
8	4.5	0.14773	0.04774	0.10384	0.04650	0.10223
8	5.0	0.20050	0.07984	0.15590	0.07680	0.15259
8	5.5	0.25882	0.12729	0.22423	0.12069	0.21805
8	6.0	0.33686	0.19641	0.31261	0.18350	0.30201
8	6.5	0.44525	0.29679	0.42630	0.27390	0.40955
8	7.0	0.59743	0.44373	0.57216	0.40765	0.54821
8	7.5	0.75620	0.65434	0.74429	0.60745	0.71301
