theta	x	pmeasured	papproxconst	papproxexp	papproxconstfrac	papproxexpfrac
3	2.0	0.25514	0.31750	0.45703	0.29001	0.43658
3	2.5	0.58373	0.59424	0.71185	0.54696	0.68273
4	2.0	0.07888	0.08841	0.20020	0.08485	0.19676
4	2.5	0.19493	0.18371	0.33967	0.17259	0.33202
4	3.0	0.40473	0.34205	0.51797	0.31731	0.50544
4	3.5	0.75797	0.59548	0.73368	0.55821	0.71731
5	2.0	0.02687	0.02452	0.09163	0.02417	0.09108
5	2.5	0.07477	0.05698	0.16847	0.05541	0.16693
5	3.0	0.16081	0.11376	0.27135	0.10878	0.26814
5	3.5	0.30270	0.20747	0.40198	0.19521	0.39660
5	4.0	0.52694	0.35831	0.56301	0.33425	0.55564
6	2.0	0.00904	0.00646	0.04288	0.00643	0.04279
6	2.5	0.02965	0.01743	0.08618	0.01725	0.08587
6	3.0	0.07040	0.03826	0.14731	0.03750	0.14656
6	3.5	0.13880	0.07401	0.22742	0.07159	0.22595
6	4.0	0.24531	0.13219	0.32793	0.12595	0.32548
6	4.5	0.42707	0.22466	0.45086	0.21105	0.44734
6	5.0	0.67613	0.37106	0.59898	0.34607	0.59397
7	2.0	0.00311	0.00156	0.02021	0.00156	0.02020
7	2.5	0.01164	0.00505	0.04481	0.00503	0.04474
7	3.0	0.03198	0.01257	0.08180	0.01247	0.08163
7	3.5	0.06763	0.02647	0.13226	0.02607	0.13186
7	4.0	0.12352	0.04994	0.19711	0.04870	0.19637
7	4.5	0.20655	0.08762	0.27746	0.08433	0.27627
7	5.0	0.35052	0.14657	0.37478	0.13903	0.37303
8	2.0	0.00110	0.00034	0.00952	0.00034	0.00952
8	2.5	0.00475	0.00135	0.02345	0.00135	0.02344
8	3.0	0.01436	0.00391	0.04600	0.00389	0.04596
8	3.5	0.03375	0.00918	0.07825	0.00912	0.07815
8	4.0	0.06475	0.01872	0.12102	0.01851	0.12081
8	4.5	0.10881	0.03465	0.17507	0.03398	0.17468
8	5.0	0.18548	0.05990	0.24125	0.05812	0.24063
8	5.5	0.30272	0.09886	0.32062	0.09466	0.31971
8	6.0	0.44250	0.15834	0.41457	0.14942	0.41317
