theta	x	pmeasured	papproxconst	papproxexp	papproxconstfrac	papproxexpfrac
3	2.0	0.18175	0.37671	0.45169	0.32409	0.40099
4	2.0	0.03544	0.10928	0.16904	0.10260	0.16146
4	2.5	0.11213	0.22146	0.30665	0.20072	0.28604
4	3.0	0.27775	0.40054	0.49761	0.35359	0.45549
5	2.0	0.00691	0.03175	0.06601	0.03108	0.06496
5	2.5	0.02761	0.07176	0.13104	0.06885	0.12741
5	3.0	0.07647	0.13944	0.22572	0.13056	0.21642
5	3.5	0.17271	0.24703	0.35573	0.22589	0.33652
6	2.0	0.00120	0.00877	0.02590	0.00872	0.02576
6	2.5	0.00668	0.02296	0.05744	0.02262	0.05683
6	3.0	0.02197	0.04901	0.10631	0.04765	0.10442
6	3.5	0.05562	0.09224	0.17572	0.08816	0.17115
6	4.0	0.11919	0.16010	0.26950	0.15019	0.26021
7	2.0	0.00021	0.00222	0.00998	0.00222	0.00997
7	2.5	0.00143	0.00695	0.02518	0.00692	0.02508
7	3.0	0.00618	0.01680	0.05082	0.01663	0.05044
7	3.5	0.01819	0.03443	0.08914	0.03376	0.08809
7	4.5	0.12243	0.10794	0.21333	0.10307	0.20855
8	2.0	0.00003	0.00051	0.00374	0.00051	0.00374
8	2.5	0.00031	0.00194	0.01088	0.00194	0.01087
8	3.0	0.00163	0.00544	0.02424	0.00542	0.02417
8	3.5	0.00569	0.01244	0.04561	0.01234	0.04537
8	4.0	0.01509	0.02471	0.07664	0.02437	0.07603
8	4.5	0.03399	0.04456	0.11900	0.04355	0.11766
8	5.0	0.06729	0.07502	0.17459	0.07253	0.17199
8	5.5	0.12343	0.12040	0.24575	0.11496	0.24119
8	6.0	0.17792	0.18701	0.33553	0.17633	0.32819
